session started|2016-06-13T22:45:42.226Z
starting user level,points|2,4354
user level,points|3,13569|2016-06-13T22:52:07.267Z
user level,points|3,13659|2016-06-13T22:52:10.281Z
user level,points|3,13749|2016-06-13T22:52:13.296Z
user level,points|3,13839|2016-06-13T22:52:16.316Z
session ended|2016-06-13T22:52:17.365Zsession started|2016-06-13T22:52:17.371Z
user level,points|3,13929|2016-06-13T22:52:19.333Z
****************
Report:
session length|NaN
levels gained|1
points earned|9575
number of tics|0
longest tic free interval|0
number of 10s tic free intervals|0
